"_acquisition_time","Date","MHLW Reported (Tokyo)","Tokyo Reported","Diff","Old Unspecified (Historical)","Tokyo Source Adjustment","Old Recovered (pre-5/4)","New Recovered Daily Total","","MHLW Unspecified Discharged","MHLW Unspecified Deaths"
"2020/05/23 14:19:16 -0900","2020-04-01","37","56","19","19","0","472","472","","",""
"2020/05/23 14:19:16 -0900","2020-04-02","47","56","9","13","-4","505","501","","",""
"2020/05/23 14:19:16 -0900","2020-04-03","48","69","21","13","8","514","522","","",""
"2020/05/23 14:19:16 -0900","2020-04-04","48","74","26","18","8","575","583","","",""
"2020/05/23 14:19:16 -0900","2020-04-05","48","82","34","11","23","584","607","","",""
"2020/05/23 14:19:16 -0900","2020-04-06","50","82","32","20","12","592","604","","",""
"2020/05/23 14:19:16 -0900","2020-04-07","58","83","25","7","18","622","640","","",""
"2020/05/23 14:19:16 -0900","2020-04-08","58","87","29","17","12","632","644","","",""
"2020/05/23 14:19:16 -0900","2020-04-09","57","88","31","70","-39","685","646","","",""
"2020/05/23 14:19:16 -0900","2020-04-10","57","92","35","70","-35","714","679","","",""
"2020/05/23 14:19:16 -0900","2020-04-11","57","92","35","8","27","762","789","","",""
"2020/05/23 14:19:16 -0900","2020-04-12","57","94","37","46","-9","784","775","","",""
"2020/05/23 14:19:16 -0900","2020-04-13","57","94","37","46","-9","799","790","","",""
"2020/05/23 14:19:16 -0900","2020-04-14","57","99","42","46","-4","853","849","","",""
"2020/05/23 14:19:16 -0900","2020-04-15","59","105","46","46","0","901","901","","",""
"2020/05/23 14:19:16 -0900","2020-04-16","59","108","49","19","30","935","965","","",""
"2020/05/23 14:19:16 -0900","2020-04-17","59","115","56","19","37","1012","1049","","",""
"2020/05/23 14:19:16 -0900","2020-04-18","59","120","61","16","45","1069","1114","","",""
"2020/05/23 14:19:16 -0900","2020-04-19","59","368","309","14","295","1159","1454","","",""
"2020/05/23 14:19:16 -0900","2020-04-20","59","374","315","14","301","1239","1540","","",""
"2020/05/23 14:19:16 -0900","2020-04-21","59","681","622","26","596","1356","1952","","",""
"2020/05/23 14:19:16 -0900","2020-04-22","59","643","584","26","558","1424","1982","","",""
"2020/05/23 14:19:16 -0900","2020-04-23","59","937","878","16","862","1494","2356","","",""
"2020/05/23 14:19:16 -0900","2020-04-24","59","952","893","16","877","1530","2407","","",""
"2020/05/23 14:19:16 -0900","2020-04-25","59","970","911","15","896","1656","2552","","1012","87"
"2020/05/23 14:19:16 -0900","2020-04-26","59","994","935","15","920","1809","2729","","1064","97"
"2020/05/23 14:19:16 -0900","2020-04-27","59","1173","1114","74","1040","1899","2939","","1084","98"
"2020/05/23 14:19:16 -0900","2020-04-28","59","1261","1202","74","1128","2181","3309","","1267","109"
"2020/05/23 14:19:16 -0900","2020-04-29","59","1271","1212","56","1156","2368","3524","","1366","112"
"2020/05/23 14:19:16 -0900","2020-04-30","59","1424","1365","56","1309","2460","3769","","1393","127"
"2020/05/23 14:19:16 -0900","2020-05-01","59","1518","1459","247","1212","2975","4187","","1393","127"
"2020/05/23 14:19:16 -0900","2020-05-02","59","1550","1491","337","1154","3205","4359","","1683","144"
"2020/05/23 14:19:16 -0900","2020-05-03","59","1567","1508","0","","","","","1742","165"
"2020/05/23 14:19:16 -0900","2020-05-04","","","","0","","","","","",""
